case,status,native_feasible,opensees_feasible,native_max_stress_ratio,opensees_max_stress_ratio,native_max_disp_ratio,opensees_max_disp_ratio,max_stress_ratio_abs_diff,max_disp_ratio_abs_diff,classification_match,member_areas_in2
exhaustive::exhaustive hard constraints,ok,yes,yes,0.375000000000,0.375000000000,0.986764068712,0.986764068712,5.551115123126e-17,0.000000000000e+00,yes,32.000 32.000 32.000 32.000 1.000 1.000 24.000 24.000 24.000 24.000
exhaustive::soft penalty w=100,ok,no,no,3.000000000000,3.000000000000,9.591168824543,9.591168824543,4.440892098501e-16,1.776356839400e-15,yes,4.000 4.000 4.000 4.000 1.000 1.000 2.000 2.000 2.000 2.000
exhaustive::soft penalty w=1000,ok,no,no,1.000000000000,1.000000000000,2.772792206136,2.772792206136,2.220446049250e-16,4.440892098501e-16,yes,12.000 12.000 12.000 12.000 1.000 1.000 8.000 8.000 8.000 8.000
exhaustive::soft penalty w=5000,ok,no,no,0.500000000000,0.500000000000,1.386396103068,1.386396103068,0.000000000000e+00,0.000000000000e+00,yes,24.000 24.000 24.000 24.000 1.000 1.000 16.000 16.000 16.000 16.000
exhaustive::soft penalty w=20000,ok,yes,yes,0.375000000000,0.375000000000,0.986764068712,0.986764068712,5.551115123126e-17,0.000000000000e+00,yes,32.000 32.000 32.000 32.000 1.000 1.000 24.000 24.000 24.000 24.000
blind_seed_202600::hard_random,ok,yes,yes,0.492544954258,0.492544954258,0.998923233129,0.998923233129,2.220446049250e-16,2.220446049250e-16,yes,32.000 32.000 24.000 24.000 2.000 2.000 24.000 24.000 40.000 40.000
blind_seed_202600::penalty_w_100,ok,no,no,5.656854249492,5.656854249492,12.136753236815,12.136753236815,3.552713678801e-15,1.776356839400e-15,yes,4.000 4.000 4.000 4.000 4.000 4.000 1.000 1.000 2.000 2.000
blind_seed_202600::penalty_w_1000,ok,no,no,1.000000000000,1.000000000000,2.348528137424,2.348528137424,6.661338147751e-16,1.332267629550e-15,yes,12.000 12.000 12.000 12.000 1.000 1.000 12.000 12.000 12.000 12.000
blind_seed_202600::penalty_w_5000,ok,no,no,0.500000000000,0.500000000000,1.492462120246,1.492462120246,1.110223024625e-16,0.000000000000e+00,yes,24.000 24.000 24.000 24.000 4.000 4.000 16.000 16.000 12.000 12.000
blind_seed_202600::penalty_w_20000,ok,no,no,0.488095070022,0.488095070022,1.027850711700,1.027850711700,5.551115123126e-17,2.220446049250e-16,yes,24.000 24.000 40.000 40.000 2.000 2.000 24.000 24.000 24.000 24.000
blind_seed_202601::hard_random,ok,yes,yes,0.353553390593,0.353553390593,0.980330085890,0.980330085890,0.000000000000e+00,1.110223024625e-16,yes,40.000 40.000 40.000 40.000 12.000 12.000 16.000 16.000 24.000 24.000
blind_seed_202601::penalty_w_100,ok,no,no,5.527506905708,5.527506905708,10.410574392318,10.410574392318,1.776356839400e-15,5.329070518201e-15,yes,4.000 4.000 2.000 2.000 1.000 1.000 4.000 4.000 2.000 2.000
blind_seed_202601::penalty_w_1000,ok,no,no,1.449542857262,1.449542857262,3.221618981992,3.221618981992,0.000000000000e+00,4.440892098501e-16,yes,12.000 12.000 16.000 16.000 1.000 1.000 4.000 4.000 8.000 8.000
