case,candidate_count,feasible_count,group_areas_in2,member_areas_in2,weight_lb,max_stress_ratio,max_disp_ratio,stress_residual,disp_residual,constructability_residual,encoded_feasible
exhaustive hard constraints,100000,3518,32.000 32.000 1.000 24.000 24.000,32.000 32.000 32.000 32.000 1.000 1.000 24.000 24.000 24.000 24.000,9567.522072,0.375000,0.986764,0.000000,0.000000,0.000000,yes
soft penalty w=100,100000,3518,4.000 4.000 1.000 2.000 2.000,4.000 4.000 4.000 4.000 1.000 1.000 2.000 2.000 2.000 2.000,1055.293506,3.000000,9.591169,2.000000,8.591169,0.000000,no
soft penalty w=1000,100000,3518,12.000 12.000 1.000 8.000 8.000,12.000 12.000 12.000 12.000 1.000 1.000 8.000 8.000 8.000 8.000,3429.174024,1.000000,2.772792,0.000000,1.772792,0.000000,no
soft penalty w=5000,100000,3518,24.000 24.000 1.000 16.000 16.000,24.000 24.000 24.000 24.000 1.000 1.000 16.000 16.000 16.000 16.000,6786.348048,0.500000,1.386396,0.000000,0.386396,0.000000,no
soft penalty w=20000,100000,3518,32.000 32.000 1.000 24.000 24.000,32.000 32.000 32.000 32.000 1.000 1.000 24.000 24.000 24.000 24.000,9567.522072,0.375000,0.986764,0.000000,0.000000,0.000000,yes
