source_id,specimen_id,load_step,rotation_rad,measured_response_as_published,predicted_response_as_published,data_provenance
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC02,20,0.00557547,13.76650000,13.24672500,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC02,21,0.00586139,13.58000000,13.58000000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC02,22,0.00614732,14.72900000,13.76485000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC02,23,0.00643324,13.94970000,13.94970000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC03,1,0.00016369,8.64161000,8.64161000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC03,2,0.00049107,11.34150000,7.70403500,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC03,3,0.00081845,6.76646000,6.76646000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC03,4,0.00114582,9.89944500,6.25923000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC03,5,0.00147320,5.75200000,5.75200000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC03,6,0.00180058,10.99400000,6.10900000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC03,7,0.00212796,6.46600000,6.46600000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC03,8,0.00245534,9.57235000,7.78185000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC03,9,0.00278272,9.09770000,9.09770000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC03,10,0.00311009,10.95275000,10.51035000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC03,11,0.00343747,11.92300000,11.92300000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC03,12,0.00376485,10.96475000,11.12059250,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC03,13,0.00409223,10.31818500,10.31818500,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC03,14,0.00441961,12.74410000,11.79321750,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC03,15,0.00474699,13.26825000,13.26825000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC03,16,0.00507436,13.05640000,13.49312500,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC03,17,0.00540174,13.71800000,13.71800000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC03,18,0.00572912,12.39920000,14.02060000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC03,19,0.00605650,14.32320000,14.32320000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC03,20,0.00638388,14.06050000,14.54536667,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC03,21,0.00703863,14.98970000,14.98970000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC04,1,0.00023957,9.26510000,9.26510000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC04,2,0.00071870,9.08416500,9.60679000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC04,3,0.00119783,9.94848000,9.94848000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC04,4,0.00167697,8.25352500,10.40444000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC04,5,0.00215610,10.86040000,10.86040000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC04,6,0.00263523,8.21829500,10.64290000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC04,7,0.00311437,10.42540000,10.42540000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC04,8,0.00359350,11.25350000,10.41287500,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC04,9,0.00407263,10.40035000,10.40035000,processed from DesignSafe raw sac2rc*.txt cyclic response files
