penalty_weight,selected_weight_lb,max_stress_ratio,max_disp_ratio,stress_residual,disp_residual,constructability_residual,feasible_encoded,areas_in2
10,636.925974,10.280086,20.362995,9.280086,19.362995,0.000000,no,2.000 0.500 1.500 1.000 2.000 1.500 2.000 2.000 0.500 2.000
75,845.470129,4.839612,12.086601,3.839612,11.086601,0.000000,no,3.000 1.500 6.000 2.000 0.500 2.000 2.000 1.500 1.000 1.500
250,1834.940259,1.942710,5.659681,0.942710,4.659681,0.000000,no,8.000 6.000 15.000 1.500 2.000 1.500 4.000 2.000 2.000 4.000
1000,3105.174024,0.942776,2.851123,0.000000,1.851123,0.000000,no,15.000 4.000 15.000 6.000 0.500 0.500 6.000 10.000 8.000 8.000
5000,6428.376618,0.628580,1.421336,0.000000,0.421336,0.000000,no,25.000 6.000 30.000 8.000 0.500 3.000 20.000 20.000 20.000 15.000
20000,9724.844148,0.396825,0.969812,0.000000,0.000000,0.000000,yes,35.000 15.000 30.000 25.000 0.500 2.000 35.000 30.000 25.000 25.000
